User ID,User Name,AWS Service,Interaction Type,Interaction Frequency,Rating
1,Elizabeth Houston,AWS Well-Architected Framework,Like,19,3
1,Elizabeth Houston,AWS Solutions Architect Consulting,Purchase,19,2
1,Elizabeth Houston,AWS Cloud Migration,View,13,3
1,Elizabeth Houston,AWS Amplify,View,20,4
1,Elizabeth Houston,AWS Lambda,Purchase,7,3
1,Elizabeth Houston,AWS EC2,View,5,5
1,Elizabeth Houston,AWS S3,Purchase,18,1
1,Elizabeth Houston,AWS Identity and Access Management (IAM),Like,14,4
1,Elizabeth Houston,AWS Security Hub,Like,8,1
1,Elizabeth Houston,AWS GuardDuty,Purchase,9,3
1,Elizabeth Houston,AWS WAF,Like,7,4
2,Ashley Sanchez,AWS Well-Architected Framework,View,16,1
2,Ashley Sanchez,AWS Solutions Architect Consulting,Purchase,16,2
2,Ashley Sanchez,AWS Cloud Migration,Like,5,2
2,Ashley Sanchez,AWS Amplify,Comment,10,3
2,Ashley Sanchez,AWS Lambda,View,19,4
2,Ashley Sanchez,AWS EC2,Like,6,2
2,Ashley Sanchez,AWS S3,Like,11,5
2,Ashley Sanchez,AWS Identity and Access Management (IAM),View,15,1
2,Ashley Sanchez,AWS Security Hub,Comment,1,1
2,Ashley Sanchez,AWS GuardDuty,Like,5,2
2,Ashley Sanchez,AWS WAF,Comment,20,1
3,Christy Knapp,AWS Well-Architected Framework,Like,8,5
3,Christy Knapp,AWS Solutions Architect Consulting,View,20,1
3,Christy Knapp,AWS Cloud Migration,Purchase,17,2
3,Christy Knapp,AWS Amplify,Like,2,1
3,Christy Knapp,AWS Lambda,Purchase,20,5
3,Christy Knapp,AWS EC2,Comment,8,3
3,Christy Knapp,AWS S3,Purchase,19,4
3,Christy Knapp,AWS Identity and Access Management (IAM),Comment,14,1
3,Christy Knapp,AWS Security Hub,Like,18,3
3,Christy Knapp,AWS GuardDuty,Comment,3,2
3,Christy Knapp,AWS WAF,Comment,9,1
4,Krystal Ewing,AWS Well-Architected Framework,View,1,4
4,Krystal Ewing,AWS Solutions Architect Consulting,Purchase,14,1
4,Krystal Ewing,AWS Cloud Migration,View,14,3
4,Krystal Ewing,AWS Amplify,Like,9,2
4,Krystal Ewing,AWS Lambda,Purchase,5,3
4,Krystal Ewing,AWS EC2,View,18,5
